33.8,25.5,451.357,354.857,.571,-5
23.9,21.5,357.077,331.154,.615,10
35.1,15.1,427.067,276.333,.933,10
36.7,19.1,467.308,314.462,.846,2
37.4,35.8,494.923,467.846,.538,-4
34.6,33.5,477.984,463.769,.462,2
35.9,27.4,465.462,391.615,.615,7
40.0,30.2,438.462,419.231,.692,8
22.1,27.8,338.250,375.583,.167,-11
27.5,26.0,370.000,405.154,.538,2
33.7,22.8,424.769,345.692,.692,2
23.1,35.8,371.583,518.000,.250,1
48.1,28.3,616.231,396.538,.769,0
39.1,20.2,501.308,318.308,.692,9
17.2,15.3,275.583,254.333,.250,3
42.2,28.9,546.786,417.786,.714,12
26.7,27.6,386.417,413.417,.417,0
37.9,30.7,529.154,453.692,.615,4
25.8,22.0,401.692,332.231,.538,2
17.5,36.3,337.167,419.000,.167,-13
33.8,31.2,537.846,408.615,.538,-19
38.5,21.7,514.533,313.000,.933,-2
24.6,27.5,396.846,416.923,.307,1
29.6,27.2,425.846,390.923,.538,-12
17.2,19.5,310.308,355.077,.461,9
31.5,25.4,439.385,394.692,.615,-1
27.4,26.0,414.583,400.917,.417,-3
25.4,42.1,380.000,519.333,.083,-13
23.2,18.3,334.000,310.214,.714,8
22.5,28.8,377.833,405.083,.250,-2
25.5,29.8,347.750,406.083,.417,3
31.7,17.5,424.000,336.923,.769,0
22.3,38.1,315.166,446.167,.250,-2
26.3,16.9,377.231,305.923,.769,4
36.5,23.5,426.384,338.077,.692,6
26.9,28.3,432.846,405.615,.461,-1
29.3,25.8,378.000,368.000,.250,-7
17.6,35.6,316.308,449.077,.231,-23
40.4,20.7,484.143,383.571,.929,21
30.3,42.1,428.417,487.667,.333,-6
22.7,23.3,372.667,350.833,.417,4
36.5,37.6,504.307,509.462,.467,8
30.9,20.4,386.143,341.000,.857,11
25.0,32.7,408.250,453.417,.250,-11
15.3,46.1,331.500,560.833,.000,-7
29.9,31.5,333.692,452.154,.461,-3
13.1,26.1,270.833,350.083,.250,-3
24.7,27.4,372.000,394.167,.417,-2
32.8,24.3,437.250,347.167,.750,7
37.5,26.8,482.769,375.846,.692,1
26.4,31.8,380.417,420.833,.333,-9
21.0,36.5,310.846,422.769,.154,-16
28.7,24.1,416.077,332.769,.615,-1
31.3,17.8,400.384,360.000,.769,4
24.7,34.4,375.000,421.167,.250,-18
22.2,31.4,399.750,447.833,.250,-1
40.2,27.3,486.923,406.692,.692,8
27.8,28.2,397.000,404.846,.615,11
17.9,32.0,338.167,404.583,.250,-14
31.4,16.4,395.923,280.692,.769,-4
29.8,21.7,385.500,349.857,.857,14
34.0,26.6,457.385,405.615,.538,-4
22.5,25.2,358.923,345.923,.462,-4
40.8,22.6,517.769,385.846,.769,0
34.4,23.2,460.462,391.154,.692,-4
13.6,16.2,280.917,302.000,.416,-1
36.8,21.8,425.154,364.923,.846,19
32.8,27.8,446.923,400.385,.462,-12
26.2,26.8,375.154,405.384,.538,9
29.9,28.4,389.231,437.385,.538,4
28.6,45.0,433.333,522.250,.250,1
40.7,24.5,486.929,435.929,.786,7
33.2,25.8,412.846,350.692,.538,9
15.2,41.3,320.083,502.586,.083,-7
31.1,27.6,398.571,418.357,.571,2
19.5,18.6,327.077,318.923,.769,1
34.2,24.1,466.385,372.692,.769,-6
27.5,25.3,413.077,377.692,.615,5
35.7,15.1,434.077,311.308,.923,3
43.5,22.0,530.231,364.462,.846,9
39.5,30.5,480.000,439.077,.769,13
24.3,35.8,371.250,437.833,.417,-1
43.0,37.5,538.231,485.308,.692,5
19.0,37.0,336.417,481.500,.167,-4
23.2,21.8,348.615,324.462,.538,4
28.2,26.1,377.462,363.154,.615,0
25.1,36.5,368.583,458.333,.167,-5
26.1,35.8,401.833,447.417,.417,-12
27.1,34.9,377.000,462.000,.333,-2
27.8,45.7,382.833,502.167,.167,-10
32.1,16.4,375.286,287.286,.786,22
27.9,27.2,404.615,358.538,.462,-5
25.0,37.3,360.167,416.000,.417,-5
21.9,27.5,362.167,429.833,.250,5
33.6,22.9,441.615,380.462,.615,10
39.9,25.6,509.500,379.500,.643,-1
37.8,22.6,433.357,368.286,.857,1
27.3,31.0,319.917,438.500,.333,5
42.1,27.2,562.846,398.385,.846,0
29.8,20.1,366.714,337.000,.714,3
35.2,20.0,422.308,362.000,.692,7
26.4,30.3,370.750,452.583,.417,11
27.8,22.0,424.692,380.000,.615,-6
26.9,39.2,416.667,512.833,.250,-7
45.1,43.6,579.461,547.692,.538,2
35.0,20.8,460.917,375.167,.833,8
27.9,28.3,359.617,391.250,.333,0
19.7,36.3,317.000,412.250,.250,1
37.2,39.8,507.385,536.615,.462,4
13.9,37.7,268.417,464.083,.000,-20
32.2,26.0,465.923,401.692,.615,0
28.6,33.7,405.083,457.250,.250,4
33.9,25.7,437.929,400.786,.571,11
20.7,32.9,342.833,427.750,.417,-11
22.6,33.8,362.250,444.083,.250,-1
30.6,22.3,363.000,366.769,.769,13
29.0,26.7,370.231,332.462,.462,-3
15.2,21.0,326.500,350.500,.333,-8
25.8,32.2,380.750,411.500,.333,-9
31.0,26.3,385.077,369.846,.538,4
17.4,24.6,333.417,363.750,.250,-13
30.6,18.8,403.077,351.846,.538,5
31.5,37.7,469.615,416.769,.692,-1
34.0,24.6,479.692,369.461,.615,9
44.3,25.9,526.357,405.214,.857,14
36.0,28.3,491.077,413.692,.615,1
26.8,13.7,378.615,268.538,.769,3
19.0,34.0,360.667,422.083,.167,-11



















